<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBERP,60,20200114,140000,235.0600000,235.6900000,234.9500000,235.1300000,232940
SBERP,60,20200114,150000,235.0500000,235.1200000,233.5400000,233.6600000,419950
SBERP,60,20200114,160000,233.6000000,233.7700000,233.1300000,233.1600000,460150
SBERP,60,20200114,170000,233.1600000,233.4500000,232.4100000,232.5700000,602800
SBERP,60,20200114,180000,232.5900000,232.6500000,230.1400000,231.7800000,1223790
SBERP,60,20200114,190000,231.7900000,232.8000000,231.7600000,232.2000000,390420
SBERP,60,20200115,110000,232.0000000,232.1600000,231.0500000,231.5900000,584600
SBERP,60,20200115,120000,231.6000000,232.0700000,230.5100000,231.5000000,832100
SBERP,60,20200115,130000,231.4800000,232.3900000,231.3800000,232.2700000,450530
SBERP,60,20200115,140000,232.2800000,232.8000000,231.8000000,231.9800000,536390
SBERP,60,20200115,150000,231.9800000,232.5000000,231.4800000,231.7500000,216660
SBERP,60,20200115,160000,231.7500000,231.9700000,231.3100000,231.5900000,135490
SBERP,60,20200115,170000,231.5800000,232.0500000,230.0200000,230.5700000,1231400
SBERP,60,20200115,180000,230.5500000,232.6500000,230.2300000,231.3000000,1183340
SBERP,60,20200115,190000,231.2700000,231.3300000,230.1600000,230.1600000,1067050
SBERP,60,20200116,110000,231.0000000,233.0700000,231.0000000,232.3300000,701590
SBERP,60,20200116,120000,232.3700000,232.5300000,231.3500000,231.8200000,505620
SBERP,60,20200116,130000,231.8200000,232.2300000,230.6000000,231.0900000,559140
SBERP,60,20200116,140000,231.0000000,231.8000000,230.7500000,231.7500000,390700
SBERP,60,20200116,150000,231.6800000,231.7400000,231.1100000,231.1300000,225360
SBERP,60,20200116,160000,231.1800000,231.3000000,230.7100000,230.7900000,429820
SBERP,60,20200116,170000,230.8500000,231.2700000,230.7200000,231.0200000,317910
SBERP,60,20200116,180000,231.0000000,231.2800000,230.9200000,231.1600000,337070
SBERP,60,20200116,190000,231.1600000,231.1600000,230.7500000,230.9900000,353700
SBERP,60,20200117,110000,231.7300000,232.8000000,231.2000000,232.5400000,664820
SBERP,60,20200117,120000,232.5600000,234.0000000,232.0800000,233.6500000,933960
SBERP,60,20200117,130000,233.6000000,233.9500000,233.1100000,233.3200000,416450
SBERP,60,20200117,140000,233.3100000,234.5500000,233.2900000,234.3000000,485750
SBERP,60,20200117,150000,234.2900000,234.7900000,234.0800000,234.7900000,1474190
SBERP,60,20200117,160000,234.7900000,234.7900000,234.3100000,234.7100000,1042150
SBERP,60,20200117,170000,234.7100000,234.9900000,234.3900000,234.5100000,276460
SBERP,60,20200117,180000,234.4500000,235.2100000,234.4300000,235.0900000,352660
SBERP,60,20200117,190000,235.0900000,235.1500000,234.4000000,234.5700000,249800
SBERP,60,20200120,110000,235.1800000,235.9500000,234.5900000,235.1800000,634970
SBERP,60,20200120,120000,235.2800000,236.3000000,235.1100000,236.0200000,526060
SBERP,60,20200120,130000,236.0600000,236.2500000,235.8000000,236.1800000,880180
SBERP,60,20200120,140000,236.1900000,237.3400000,236.1000000,237.1300000,1020860
SBERP,60,20200120,150000,237.0900000,237.6500000,236.8900000,237.0600000,408450
SBERP,60,20200120,160000,237.0700000,237.4000000,236.8000000,237.3300000,256660
SBERP,60,20200120,170000,237.3800000,237.5900000,237.1000000,237.3700000,221240
SBERP,60,20200120,180000,237.3700000,238.6500000,237.2900000,238.5000000,886970
SBERP,60,20200120,190000,238.4900000,238.7000000,237.7100000,238.5000000,439080
SBERP,60,20200121,110000,237.9600000,237.9600000,235.1100000,235.6200000,988960
SBERP,60,20200121,120000,235.6700000,236.6400000,235.5000000,236.6200000,375860
SBERP,60,20200121,130000,236.6200000,237.1300000,236.4300000,236.9000000,224620
SBERP,60,20200121,140000,236.8000000,236.9400000,236.0000000,236.1700000,205290
SBERP,60,20200121,150000,236.1700000,236.3400000,235.5000000,236.2000000,404200
SBERP,60,20200121,160000,236.2000000,236.8000000,235.9700000,236.5500000,191190
SBERP,60,20200121,170000,236.5100000,237.6000000,236.2000000,237.0800000,322850
SBERP,60,20200121,180000,237.0600000,239.4300000,235.7700000,238.9800000,1236440
SBERP,60,20200121,190000,239.0000000,239.4300000,237.8800000,238.4000000,553580
SBERP,60,20200122,110000,239.5500000,241.2400000,238.3500000,240.1800000,1436700
SBERP,60,20200122,120000,240.1800000,240.8000000,239.5100000,239.5300000,872810
SBERP,60,20200122,130000,239.5300000,239.5300000,237.7700000,238.5200000,571220
SBERP,60,20200122,140000,238.5500000,239.2600000,237.7100000,238.0900000,346410
SBERP,60,20200122,150000,238.0200000,238.0300000,235.6700000,235.9500000,615650
SBERP,60,20200122,160000,235.8500000,236.8000000,235.7700000,236.3300000,528550
SBERP,60,20200122,170000,236.3400000,237.1500000,235.6300000,237.0500000,304200
SBERP,60,20200122,180000,237.0000000,238.2000000,237.0000000,237.3900000,491510
SBERP,60,20200122,190000,237.3100000,237.3500000,236.3500000,236.5000000,303120
SBERP,60,20200123,110000,235.3000000,235.5300000,232.9700000,235.0300000,901240
